,UID,Product #,Product Description,Qty,Unit Price,Total Price
62,,,"Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""",,,
63,,,"Standard Height = RO: 24 5/8"" | UNIT: 24 1/8""",,,
64,,,Frame Width = 24 1/8,,,
65,,,Frame Height = 24 1/8,,,
66,,,Unit Code = A21,,,
67,,,Frame Option = Installation Flange,,,
68,,,Combination Operation / Venting = Vent(All),,,
69,,,Venting / Handing = Vent,,,
70,,,Electric Operator Prep = No,,,
71,,,Exterior Color = Sandtone,,,
72,,,Interior Species = Pine,,,
73,,,Interior Finish Color = Unfinished,,,
74,,,Glass Construction Type = Dual Pane,,,
75,,,Glass Option = Low-E4,,,
76,,,High Altitude Breather Tubes = No,,,
77,,,Glass Strength = Standard,,,
78,,,Glass Tint = No Tint,,,
79,,,Specialty Glass = None,,,
80,,,Gas Fill = Argon,,,
81,,,Art Glass Series = None,,,
82,,,None,,,
83,,,DP/PG Upgrade = Yes,,,
84,,,Hardware Style = Classic Series,,,
85,,,Hardware Color/Finish = White,,,
86,,,Corrosion Resistant Hardware = None,,,
87,,,Security Sensor Type = None,,,
88,,,Insect Screen Type = None,,,
89,,,"Exterior Trim Style = 3 1/2"" Flat",,,
90,,,Exterior Trim Type = Sill Nose,,,
91,,,Exterior Trim Color = White,,,
92,,,"Exterior Trim Sill Size = 1 3/4""",,,
93,,,Exterior Trim Application Method = Pre-cut Trim Kit,,,
94,,,Extension Jamb Type = None,,,
95,,,Installation Material Options = No,,,
96,,,Re-Order Item = No,,,
97,,,Room Location = None,,,
98,,,Unit U-Factor = 0.28,,,
99,,,Unit Solar Heat Gain Coefficient (SHGC) = 0.31,,,
100,,,U.S. ENERGY STAR Certified = No,,,
101,,,Hardware Part Number = 1521026,,,
102,,,Vertical,,,
103,,,Factory,,,
104,,,"0.75"" thick, 24.125"" length",,,
105,,,SKU = 289185,,,
106,,,Vendor Name = S/O ANDERSEN LOGISTICS,,,
107,,,Vendor Number = 60509030,,,
108,,,Customer Service = (888) 888-7020,,,
109,,,Catalog Version Date = 03/26/2019,,,
110,3,100-3,400 Series Awning,1,$13.80,$13.80
111,,,"Overall Joined Rough Opening = 99 1/4"" x 24 5/8""",,,
112,,,"Overall Joined Unit = 98 3/4"" x 24 1/8""",,,
113,,,Installation Zip Code = 55082,,,
114,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
115,,,Search by Unit Code = No,,,
116,,,"Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""",,,
117,,,"Standard Height = RO: 24 5/8"" | UNIT: 24 1/8""",,,
118,,,Frame Width = 24 1/8,,,
119,,,Frame Height = 24 1/8,,,
120,,,Unit Code = A21,,,
121,,,Frame Option = Installation Flange,,,
122,,,Combination Operation / Venting = Vent(All),,,
123,,,Venting / Handing = Vent,,,
124,,,Electric Operator Prep = No,,,
125,,,Exterior Color = Sandtone,,,
126,,,Interior Species = Pine,,,
127,,,Interior Finish Color = Unfinished,,,
128,,,Glass Construction Type = Dual Pane,,,
129,,,Glass Option = Low-E4,,,
130,,,High Altitude Breather Tubes = No,,,
131,,,Glass Strength = Standard,,,
132,,,Glass Tint = No Tint,,,
133,,,Specialty Glass = None,,,
134,,,Gas Fill = Argon,,,
135,,,Art Glass Series = None,,,
136,,,None,,,
137,,,DP/PG Upgrade = Yes,,,
138,,,Hardware Style = Classic Series,,,
139,,,Hardware Color/Finish = White,,,
140,,,Corrosion Resistant Hardware = None,,,
141,,,Security Sensor Type = None,,,
142,,,Insect Screen Type = None,,,
143,,,"Exterior Trim Style = 3 1/2"" Flat",,,
144,,,Exterior Trim Type = Sill Nose,,,
145,,,Exterior Trim Color = White,,,
146,,,"Exterior Trim Sill Size = 1 3/4""",,,
147,,,Exterior Trim Application Method = Pre-cut Trim Kit,,,
148,,,Extension Jamb Type = None,,,
149,,,Installation Material Options = No,,,
150,,,Re-Order Item = No,,,
151,,,Room Location = None,,,
152,,,Unit U-Factor = 0.28,,,
153,,,Unit Solar Heat Gain Coefficient (SHGC) = 0.31,,,
154,,,U.S. ENERGY STAR Certified = No,,,
155,,,Hardware Part Number = 1521026,,,
156,,,Vertical,,,
157,,,Factory,,,
158,,,"0.75"" thick, 24.125"" length",,,
159,,,SKU = 289185,,,
160,,,Vendor Name = S/O ANDERSEN LOGISTICS,,,
161,,,Vendor Number = 60509030,,,
162,,,Customer Service = (888) 888-7020,,,
163,,,Catalog Version Date = 03/26/2019,,,
164,4,100-4,400 Series Awning $13.80,1,$13.80,$13.80
165,,,"Overall Joined Rough Opening = 99 1/4"" x 24 5/8""",,,
166,,,"Overall Joined Unit = 98 3/4"" x 24 1/8""",,,
167,,,Installation Zip Code = 55082,,,
168,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
169,,,Search by Unit Code = No,,,
170,,,"Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""",,,
171,,,"Standard Height = RO: 24 5/8"" | UNIT: 24 1/8""",,,
172,,,Frame Width = 24 1/8,,,
173,,,Frame Height = 24 1/8,,,
174,,,Unit Code = A21,,,
175,,,Frame Option = Installation Flange,,,
176,,,Combination Operation / Venting = Vent(All),,,
177,,,Venting / Handing = Vent,,,
178,,,Electric Operator Prep = No,,,
179,,,Exterior Color = Sandtone,,,
180,,,Interior Species = Pine,,,
181,,,Interior Finish Color = Unfinished,,,
182,,,Glass Construction Type = Dual Pane,,,
183,,,Glass Option = Low-E4,,,
184,,,High Altitude Breather Tubes = No,,,
185,,,Glass Strength = Standard,,,
186,,,Glass Tint = No Tint,,,
187,,,Specialty Glass = None,,,
188,,,Gas Fill = Argon,,,
189,,,Art Glass Series = None,,,
190,,,None,,,
191,,,DP/PG Upgrade = Yes,,,
192,,,Hardware Style = Classic Series,,,
193,,,Hardware Color/Finish = White,,,
194,,,Corrosion Resistant Hardware = None,,,
195,,,Security Sensor Type = None,,,
196,,,Insect Screen Type = None,,,
197,,,"Exterior Trim Style = 3 1/2"" Flat",,,
198,,,Exterior Trim Type = Sill Nose,,,
199,,,Exterior Trim Color = White,,,
200,,,"Exterior Trim Sill Size = 1 3/4""",,,
201,,,Exterior Trim Application Method = Pre-cut Trim Kit,,,
202,,,Extension Jamb Type = None,,,
203,,,Installation Material Options = No,,,
204,,,Re-Order Item = No,,,
205,,,Room Location = None,,,
206,,,Unit U-Factor = 0.28,,,
207,,,Unit Solar Heat Gain Coefficient (SHGC) = 0.31,,,
208,,,U.S. ENERGY STAR Certified = No,,,
209,,,Hardware Part Number = 1521026,,,
210,,,Vertical,,,
211,,,Factory,,,
212,,,"0.75"" thick, 24.125"" length",,,
213,,,SKU = 289185,,,
214,,,Vendor Name = S/O ANDERSEN LOGISTICS,,,
215,,,Vendor Number = 60509030,,,
216,,,Customer Service = (888) 888-7020,,,
217,,,Catalog Version Date = 03/26/2019,,,
218,5,300-1,400 Series Double-Hung Bay,1,"$4,376.20","$4,376.20"
219,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
220,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
221,,,Dimensional Entry Type = Standard Sizes (By Center,,,
222,,,Width),,,
223,,,Installation Zip Code = 55082,,,
224,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
225,,,Search by Unit Code = No,,,
226,,,"Unit 1, 3: Frame Width = 21 5/8",,,
227,,,"Unit 1, 3: Frame Height = 68 7/8",,,
228,,,Unit 2: Frame Width = 41 5/8,,,
229,,,Unit 2: Frame Height = 68 7/8,,,
230,,,Unit Code = TW45-3456-18,,,
231,,,Combination Operation / Venting = Active (All),,,
232,,,Venting / Handing = AA,,,
233,,,Exterior Color = Dark Bronze,,,
234,,,Exterior Sash/Panel Color = Dark Bronze,,,
235,,,Interior Species = Pine,,,
236,,,Interior Finish Color = White - Painted,,,
237,,,Jamb Liner Color = White,,,
238,,,Glass Construction Type = Dual Pane,,,
239,,,Glass Option = Low-E4,,,
240,,,High Altitude Breather Tubes = No,,,
241,,,Glass Strength = Tempered,,,
242,,,Specialty Glass = Reed Vertical,,,
243,,,Gas Fill = Argon,,,
244,,,None,,,
245,,,DP/PG Upgrade = No,,,
246,,,Sash Lift Type = Hand Lift,,,
247,,,Sash Lift Style = Traditional,,,
248,,,Sash Lift Color/Finish = Antique Brass,,,
249,,,Lock Hardware Style = Traditional,,,
250,,,Number of Sash Locks = 1,,,
251,,,Lock Hardware Color/Finish = White (Factory Applied),,,
252,,,Window Opening Control Device = No,,,
253,,,Security Sensor Type = None,,,
254,,,Insect Screen Type = Half Screen,,,
255,,,Insect Screen Material = TruScene,,,
256,,,Insect Screen Color = Sandtone,,,
257,,,Bay/Bow Option Type = Standard,,,
258,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
259,,,Head and Seat Board Species = Pine,,,
260,,,Head and Seat Board Finish Color = White - Painted,,,
261,,,"Overall Wall Depth = 6 9/16""",,,
262,,,Platform Boards = Top and Bottom Platforms,,,
263,,,Angle Bay/Bow Supports = w/Cable Support System,,,
264,,,Top Auxiliary Casing = Top Auxiliary,,,
265,,,Auxiliary Casing Colors = Dark Bronze,,,
266,,,Casing Application Location = Shipped Loose,,,
267,,,Trim Board = Fibrex Cellular Trim Board,,,
268,,,Installation Material Options = No,,,
269,,,Re-Order Item = No,,,
270,,,Room Location = None,,,
271,,,"Unit 1, 3: Unit U-Factor = ---",,,
272,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
273,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
274,6,300-2,400 Series Double-Hung Bay,1,$32.00,$32.00
275,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
276,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
277,,,Dimensional Entry Type = Standard Sizes (By Center,,,
278,,,Width),,,
279,,,Installation Zip Code = 55082,,,
280,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
281,,,Search by Unit Code = No,,,
282,,,"Unit 1, 3: Frame Width = 21 5/8",,,
283,,,"Unit 1, 3: Frame Height = 68 7/8",,,
284,,,Unit 2: Frame Width = 41 5/8,,,
285,,,Unit 2: Frame Height = 68 7/8,,,
286,,,Unit Code = TW45-3456-18,,,
287,,,Combination Operation / Venting = Active (All),,,
288,,,Venting / Handing = AA,,,
289,,,Exterior Color = Dark Bronze,,,
290,,,Exterior Sash/Panel Color = Dark Bronze,,,
291,,,Interior Species = Pine,,,
292,,,Interior Finish Color = White - Painted,,,
293,,,Jamb Liner Color = White,,,
294,,,Glass Construction Type = Dual Pane,,,
295,,,Glass Option = Low-E4,,,
296,,,High Altitude Breather Tubes = No,,,
297,,,Glass Strength = Tempered,,,
298,,,Specialty Glass = Reed Vertical,,,
299,,,Gas Fill = Argon,,,
300,,,None,,,
301,,,DP/PG Upgrade = No,,,
302,,,Sash Lift Type = Hand Lift,,,
303,,,Sash Lift Style = Traditional,,,
304,,,Sash Lift Color/Finish = Antique Brass,,,
305,,,Lock Hardware Style = Traditional,,,
306,,,Number of Sash Locks = 1,,,
307,,,Lock Hardware Color/Finish = White (Factory Applied),,,
308,,,Window Opening Control Device = No,,,
309,,,Security Sensor Type = None,,,
310,,,Insect Screen Type = Half Screen,,,
311,,,Insect Screen Material = TruScene,,,
312,,,Insect Screen Color = Sandtone,,,
313,,,Bay/Bow Option Type = Standard,,,
314,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
315,,,Head and Seat Board Species = Pine,,,
316,,,Head and Seat Board Finish Color = White - Painted,,,
317,,,"Overall Wall Depth = 6 9/16""",,,
318,,,Platform Boards = Top and Bottom Platforms,,,
319,,,Angle Bay/Bow Supports = w/Cable Support System,,,
320,,,Top Auxiliary Casing = Top Auxiliary,,,
321,,,Auxiliary Casing Colors = Dark Bronze,,,
322,,,Casing Application Location = Shipped Loose,,,
323,,,Trim Board = Fibrex Cellular Trim Board,,,
324,,,Installation Material Options = No,,,
325,,,Re-Order Item = No,,,
326,,,Room Location = None,,,
327,,,"Unit 1, 3: Unit U-Factor = ---",,,
328,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
329,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
330,7,300-3,400 Series Double-Hung Bay,1,$175.00,$175.00
331,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
332,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
333,,,Dimensional Entry Type = Standard Sizes (By Center,,,
334,,,Width),,,
335,,,Installation Zip Code = 55082,,,
336,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
337,,,Search by Unit Code = No,,,
338,,,"Unit 1, 3: Frame Width = 21 5/8",,,
339,,,"Unit 1, 3: Frame Height = 68 7/8",,,
340,,,Unit 2: Frame Width = 41 5/8,,,
341,,,Unit 2: Frame Height = 68 7/8,,,
342,,,Unit Code = TW45-3456-18,,,
343,,,Combination Operation / Venting = Active (All),,,
344,,,Venting / Handing = AA,,,
345,,,Exterior Color = Dark Bronze,,,
346,,,Exterior Sash/Panel Color = Dark Bronze,,,
347,,,Interior Species = Pine,,,
348,,,Interior Finish Color = White - Painted,,,
349,,,Jamb Liner Color = White,,,
350,,,Glass Construction Type = Dual Pane,,,
351,,,Glass Option = Low-E4,,,
352,,,High Altitude Breather Tubes = No,,,
353,,,Glass Strength = Tempered,,,
354,,,Specialty Glass = Reed Vertical,,,
355,,,Gas Fill = Argon,,,
356,,,None,,,
357,,,DP/PG Upgrade = No,,,
358,,,Sash Lift Type = Hand Lift,,,
359,,,Sash Lift Style = Traditional,,,
360,,,Sash Lift Color/Finish = Antique Brass,,,
361,,,Lock Hardware Style = Traditional,,,
362,,,Number of Sash Locks = 1,,,
363,,,Lock Hardware Color/Finish = White (Factory Applied),,,
364,,,Window Opening Control Device = No,,,
365,,,Security Sensor Type = None,,,
366,,,Insect Screen Type = Half Screen,,,
367,,,Insect Screen Material = TruScene,,,
368,,,Insect Screen Color = Sandtone,,,
369,,,Bay/Bow Option Type = Standard,,,
370,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
371,,,Head and Seat Board Species = Pine,,,
372,,,Head and Seat Board Finish Color = White - Painted,,,
373,,,"Overall Wall Depth = 6 9/16""",,,
374,,,Platform Boards = Top and Bottom Platforms,,,
375,,,Angle Bay/Bow Supports = w/Cable Support System,,,
376,,,Top Auxiliary Casing = Top Auxiliary,,,
377,,,Auxiliary Casing Colors = Dark Bronze,,,
378,,,Casing Application Location = Shipped Loose,,,
379,,,Trim Board = Fibrex Cellular Trim Board,,,
380,,,Installation Material Options = No,,,
381,,,Re-Order Item = No,,,
382,,,Room Location = None,,,
383,,,"Unit 1, 3: Unit U-Factor = ---",,,
384,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
385,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
386,8,300-4,400 Series Double-Hung Bay,1,$8.00,$8.00
387,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
388,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
389,,,Dimensional Entry Type = Standard Sizes (By Center,,,
390,,,Width),,,
391,,,Installation Zip Code = 55082,,,
392,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
393,,,Search by Unit Code = No,,,
394,,,"Unit 1, 3: Frame Width = 21 5/8",,,
395,,,"Unit 1, 3: Frame Height = 68 7/8",,,
396,,,Unit 2: Frame Width = 41 5/8,,,
397,,,Unit 2: Frame Height = 68 7/8,,,
398,,,Unit Code = TW45-3456-18,,,
399,,,Combination Operation / Venting = Active (All),,,
400,,,Venting / Handing = AA,,,
401,,,Exterior Color = Dark Bronze,,,
402,,,Exterior Sash/Panel Color = Dark Bronze,,,
403,,,Interior Species = Pine,,,
404,,,Interior Finish Color = White - Painted,,,
405,,,Jamb Liner Color = White,,,
406,,,Glass Construction Type = Dual Pane,,,
407,,,Glass Option = Low-E4,,,
408,,,High Altitude Breather Tubes = No,,,
409,,,Glass Strength = Tempered,,,
410,,,Specialty Glass = Reed Vertical,,,
411,,,Gas Fill = Argon,,,
412,,,None,,,
413,,,DP/PG Upgrade = No,,,
414,,,Sash Lift Type = Hand Lift,,,
415,,,Sash Lift Style = Traditional,,,
416,,,Sash Lift Color/Finish = Antique Brass,,,
417,,,Lock Hardware Style = Traditional,,,
418,,,Number of Sash Locks = 1,,,
419,,,Lock Hardware Color/Finish = White (Factory Applied),,,
420,,,Window Opening Control Device = No,,,
421,,,Security Sensor Type = None,,,
422,,,Insect Screen Type = Half Screen,,,
423,,,Insect Screen Material = TruScene,,,
424,,,Insect Screen Color = Sandtone,,,
425,,,Bay/Bow Option Type = Standard,,,
426,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
427,,,Head and Seat Board Species = Pine,,,
428,,,Head and Seat Board Finish Color = White - Painted,,,
429,,,"Overall Wall Depth = 6 9/16""",,,
430,,,Platform Boards = Top and Bottom Platforms,,,
431,,,Angle Bay/Bow Supports = w/Cable Support System,,,
432,,,Top Auxiliary Casing = Top Auxiliary,,,
433,,,Auxiliary Casing Colors = Dark Bronze,,,
434,,,Casing Application Location = Shipped Loose,,,
435,,,Trim Board = Fibrex Cellular Trim Board,,,
436,,,Installation Material Options = No,,,
437,,,Re-Order Item = No,,,
438,,,Room Location = None,,,
439,,,"Unit 1, 3: Unit U-Factor = ---",,,
440,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
441,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
442,9,300-5,400 Series Double-Hung Bay,1,$32.00,$32.00
443,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
444,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
445,,,Dimensional Entry Type = Standard Sizes (By Center,,,
446,,,Width),,,
447,,,Installation Zip Code = 55082,,,
448,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
449,,,Search by Unit Code = No,,,
450,,,"Unit 1, 3: Frame Width = 21 5/8",,,
451,,,"Unit 1, 3: Frame Height = 68 7/8",,,
452,,,Unit 2: Frame Width = 41 5/8,,,
453,,,Unit 2: Frame Height = 68 7/8,,,
454,,,Unit Code = TW45-3456-18,,,
